id,clubId,squadId,start,end,ActivityDate,Round,Opposition,Result,Activity_Type,Activity,Ground,Type,datasource
177,3,8,02-05-2017 19:50,02-05-2017 20:26,02-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
178,3,8,13-05-2017 09:24,13-05-2017 09:57,13-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
179,3,8,16-05-2017 18:52,16-05-2017 20:32,16-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
180,3,8,19-05-2017 18:59,19-05-2017 20:41,19-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
181,3,8,21-05-2017 11:59,21-05-2017 12:20,21-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
182,3,8,23-05-2017 18:28,23-05-2017 20:21,23-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
183,3,8,25-05-2017 19:00,25-05-2017 20:44,25-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
184,3,8,27-05-2017 11:44,27-05-2017 13:15,27-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
185,3,8,28-05-2017 18:32,28-05-2017 18:48,28-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
186,3,8,28-05-2017 15:48,28-05-2017 19:25,28-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
187,3,8,30-05-2017 18:50,30-05-2017 20:29,30-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
188,3,8,01-06-2017 18:31,01-06-2017 20:06,01-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
189,3,8,03-06-2017 17:53,03-06-2017 20:30,03-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
190,3,8,06-06-2017 19:44,06-06-2017 19:56,06-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
191,3,8,08-06-2017 19:10,08-06-2017 21:03,08-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
192,3,8,10-06-2017 11:34,10-06-2017 13:25,10-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
193,3,8,13-06-2017 19:06,13-06-2017 20:41,13-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
194,3,8,15-06-2017 19:33,15-06-2017 20:47,15-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
195,3,8,17-06-2017 11:49,17-06-2017 13:30,17-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
196,3,8,21-06-2017 18:44,21-06-2017 20:28,21-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
197,3,8,23-06-2017 19:08,23-06-2017 20:13,23-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
198,3,8,24-06-2017 12:07,24-06-2017 12:56,24-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
199,3,8,25-06-2017 15:40,25-06-2017 17:36,25-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
200,3,8,27-06-2017 19:46,27-06-2017 20:56,27-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
201,3,8,30-06-2017 18:48,30-06-2017 20:31,30-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
202,3,8,02-07-2017 11:21,02-07-2017 13:38,02-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
203,3,8,28-06-2017 19:11,28-06-2017 20:47,28-06-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
204,3,8,04-07-2017 19:19,04-07-2017 21:07,04-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
205,3,8,06-07-2017 18:50,06-07-2017 20:20,06-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
206,3,8,08-07-2017 11:01,08-07-2017 12:39,08-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
207,3,8,12-07-2017 18:36,12-07-2017 20:35,12-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
208,3,8,14-07-2017 18:32,14-07-2017 20:13,14-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
209,3,8,16-07-2017 15:37,16-07-2017 18:00,16-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
210,3,8,19-07-2017 17:51,19-07-2017 19:31,19-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
211,3,8,21-07-2017 18:47,21-07-2017 20:11,21-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
212,3,8,23-07-2017 11:22,23-07-2017 13:02,23-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
213,3,8,25-07-2017 20:20,25-07-2017 21:33,25-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
214,3,8,27-07-2017 18:43,27-07-2017 20:27,27-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
215,3,8,29-07-2017 12:11,29-07-2017 13:19,29-07-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
216,3,8,12-04-2017 09:37,12-04-2017 11:26,12-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
217,3,8,11-04-2017 09:53,11-04-2017 11:35,11-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
